CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,STANDARD_VALUE_LOG,TYPE,TYPE_LABEL,AlogP,NumHAcceptors,NumHDonors,NumRotatableBonds,FractionCSP3,TPSA,LogP_WildmanCrippen
CHEMBL3758195,383.97,CC(CNc1ccnc2cc(Cl)ccc12)NCC12CC3CC(CC(C3)C1)C2,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,5.49,3,2,7,0.608695652,36.95,5.4946
CHEMBL3623875,383.41,Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,4.52,6,1,5,0.045454545,89.89,4.51992
CHEMBL1682429,345.45,Cc1cc(-c2cccc3cc[nH]c23)c(C#N)c2c1NC(C)(C)[C@H](O)[C@H]2C,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,4.68,3,3,6,0.318181818,71.84,4.6835
CHEMBL3353869,335.45,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2CC2CCOCC2)no1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,2.8,5,1,4,0.777777778,67.6,2.8016
CHEMBL2397494,329.38,NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)[C@@H](N)Cc1ccccc1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,0.91,3,3,8,0.222222222,98.21,0.9083
CHEMBL1630783,302.42,C[C@@H](CO)[C@H]1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,2.83,4,2,8,0.647058824,65.04,2.8273
CHEMBL3799598,301.42,O=C(NCCc1nc(-c2ccccc2)cs1)N1CCCC1,T1/2,'=',0.2167,hr,-1.52924137,-0.664141089,unstable,0,3.16,3,1,4,0.375,45.23,3.158
CHEMBL575736,544.7,COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NC4CCOCC4)cc3)sc2n1,T1/2,'=',0.2183,hr,-1.521885015,-0.660946264,unstable,0,4.46,8,2,10,0.5,119.51,4.4598
CHEMBL255344,545.07,COCC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1,T1/2,'=',0.2267,hr,-1.484127721,-0.64454848,unstable,0,2.04,7,3,8,0.44,119.66,2.0414
CHEMBL3216541,524.42,CCN(CC)CCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,T1/2,'=',0.2283,hr,-1.477094725,-0.641494089,unstable,0,5.8,5,1,9,0.28,56.36,5.79868
CHEMBL4064707,484.0,NS(=O)(=O)c1cc(-c2nnc(/C=C/c3ccccc3)o2)c(Cl)cc1SCc1ccccc1,T1/2,'=',0.2283,hr,-1.477094725,-0.641494089,unstable,0,5.5,6,1,8,0.043478261,99.08,5.5001
CHEMBL3113359,315.35,COc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccccc1,T1/2,'=',0.2283,hr,-1.477094725,-0.641494089,unstable,0,1.66,6,1,4,0.066666667,84.52,1.65517
